“Quilmes Iluminado”;Renovación de alumbrado público;Energía / Seguridad;2021–2024;Cobertura total en avenidas principales;Éxito;
“Quilmes Aprende”;Alfabetización digital y educativa;Educación / Tecnología;2020–2025;5.000 vecinos capacitados;Éxito;
“Avellaneda Conectada”;Wi-Fi gratuito en espacios públicos;Tecnología / Inclusión digital;2020–2024;80 puntos activos;Éxito;
“Lomas Digital” (Lomas de Zamora);Trámites en línea y portal ciudadano;Modernización;2020–2025;Más del 70% de trámites digitalizados;Éxito;
“Pilar Sustentable”;Energías renovables en edificios públicos;Energía / Medioambiente;2021–2025;25 escuelas con paneles solares;Éxito;
“Campana Emprende”;Capacitar y financiar PYMEs locales;Economía / Producción;2020–2025;400 emprendimientos sostenidos;Éxito;
“Hurlingham Salud”;Fortalecer atención primaria barrial;Salud;2019–2024;4 nuevos CAPS y 2 móviles sanitarios;Éxito;
“San Martín Produce”;Fomentar empleo industrial local;Economía / Desarrollo;2021–2024;1.200 empleos generados;Éxito;
“Ituzaingó Verde”;Reforestación y compost comunitario;Medioambiente;2020–2025;15.000 árboles plantados y 10 ecopuntos activos;Éxito;
“Alerta Pergamino”;Sistema de emergencias y seguridad ciudadana;Seguridad / Emergencias;2006–presente;Plataforma integral con múltiples canales de alerta;Éxito;
“Presupuesto Participativo”;Fomentar la participación ciudadana en la asignación de recursos;Participación ciudadana;2002–presente;Implementado en varios municipios, incluyendo Rosario y San Fernando;Éxito;
“Plan Urbanístico de San Juan”;Mejorar la infraestructura urbana y el ordenamiento del tránsito;Urbanismo;2007–2015;Pavimentación de 300.000 metros cuadrados y creación de ECO;Éxito;
“Sistema Automatizado de Recolección de Residuos” (San Juan);Optimizar la recolección de residuos urbanos;Medioambiente;2007–2015;Implementación de contenedores herméticos de alta tecnología;Éxito;
“Plan Integral de Movilidad Sustentable” (San Fernando);Fomentar transporte público y ciclovías;Transporte / Medioambiente;2020–2024;Construcción de 15 km de ciclovías y nuevas paradas de colectivo;Éxito;
“Banco de Alimentos Municipal” (Tigre);Reducir el hambre y desperdicio alimentario;Salud / Desarrollo social;2021–2025;Más de 2.000 familias beneficiadas;Éxito;
“Espacios Verdes Inclusivos” (San Isidro);Crear parques accesibles para personas con discapacidad;Espacio público;2019–2024;5 plazas adaptadas y señalización accesible;Éxito;
“Control de Comercio Ambulante” (Morón);Regular vendedores callejeros y preservar espacio público;Economía / Regulación urbana;2020–2023;"Persistencia de vendedores no registrados; conflictos vecinales";Fracaso parcial;
“Programa de Reducción de Basura Electrónica” (Ituzaingó);Recolectar y reciclar electrónicos;Medioambiente / Tecnología;2021–2025;Puntos de recolección activos, baja participación;Fracaso parcial;
“Plan de Prevención de Inundaciones” (Tigre);Mejorar desagües pluviales y contención;Infraestructura;2019–2024;"Obras incompletas; inundaciones recurrentes";Fracaso;
“Centros Juveniles de Empleo” (San Miguel);Capacitar y conectar jóvenes con el mercado laboral;Juventud / Economía;2020–2024;500 jóvenes con empleo formal;Éxito;
“Plan de Seguridad Escolar” (Quilmes);Implementar vigilancia y patrullaje cerca de escuelas;Seguridad / Educación;2020–2023;Reducción del 20% de incidentes;Éxito;
“Programa de Huertas Urbanas” (Moreno);Fomentar agricultura urbana y alimentación saludable;Medioambiente / Educación;2021–2025;30 huertas escolares y comunitarias activas;Éxito;
“Red de Transporte Escolar Seguro” (San Martín);Asegurar transporte seguro para estudiantes;Transporte / Seguridad;2020–2024;"Implementación parcial; problemas de cobertura";Fracaso parcial;
“Recuperación de Barrios Históricos” (La Plata);Restaurar patrimonio urbano;Urbanismo / Cultura;2019–2023;"3 barrios renovados; otras zonas sin avances";Fracaso parcial;
“Programa de Apoyo a PYMEs” (Pilar);Financiar microemprendimientos locales;Economía / Desarrollo;2020–2025;350 emprendimientos financiados;Éxito;
“San Fernando Saludable”;Campañas de vacunación y controles preventivos;Salud;2020–2024;Cobertura del 85% en campañas locales;Éxito;
“Programa de Parques Inteligentes” (Tres de Febrero);Instalar sensores y cámaras en plazas;Tecnología / Seguridad;2021–2025;"Funcionamiento parcial; vandalismo frecuente";Fracaso parcial;
“Reciclaje Escolar” (Hurlingham);Educar y recolectar residuos en colegios;Medioambiente / Educación;2021–2025;50 escuelas participantes;Éxito;
“Ciudad Digital Participativa” (Ituzaingó);Plataforma de consultas y trámites en línea;Modernización / Gobernanza;2020–2024;Reducción del 60% de trámites presenciales;Éxito;
“Plan de Control de Plagas Urbanas” (San Isidro);Reducir población de roedores y mosquitos;Salud pública / Medioambiente;2020–2023;"Éxito parcial; infestación recurrente en barrios periféricos";Fracaso parcial;
“Bibliotecas Móviles” (San Miguel);Fomentar lectura en barrios periféricos;Cultura / Educación;2021–2024;"Alta participación; 15 unidades activas";Éxito;
“Programa de Monitoreo de Calidad de Aire” (Tigre);Medir y reducir contaminación ambiental;Medioambiente / Salud;2020–2025;"Red de sensores instalada; mejora lenta en calidad de aire";Éxito parcial;
“Plan de Alumbrado LED Barrial” (Quilmes);Mejorar iluminación y seguridad;Energía / Seguridad;2020–2024;70% de calles con nueva iluminación;Éxito;
“Programa de Transporte Inclusivo” (San Isidro);Mejorar accesibilidad del transporte público para personas con movilidad reducida;Transporte / Inclusión;2021–2024;"Adaptación parcial de colectivos; no cubre todos los barrios";Fracaso parcial;
“Tigre Cultural”;Fomentar actividades culturales y artísticas barriales;Cultura / Comunidad;2019–2023;"15 festivales y talleres; buena participación";Éxito;
“San Fernando Eco Hogar”;Incentivar eficiencia energética en viviendas;Energía / Medioambiente;2020–2025;"300 hogares equipados; ahorro energético medido";Éxito;
“Plan de Seguridad Perimetral Escolar” (Morón);Proteger escuelas con vigilancia y patrullaje;Seguridad / Educación;2021–2024;"Implementación parcial; cobertura insuficiente";Fracaso parcial;
“Programa Municipal de Turismo Barrial” (Pilar);Promover turismo local y comercios;Economía / Cultura;2020–2023;Eventos culturales con baja asistencia;Fracaso parcial;
“San Isidro Digital”;Portal de trámites municipales 100% online;Modernización / Tecnología;2020–2024;Reducción del 70% de trámites presenciales;Éxito;
“Quilmes Saludable”;Campañas de prevención de enfermedades crónicas;Salud;2019–2024;Cobertura limitada en barrios periféricos;Fracaso parcial;
“Programa de Movilidad Escolar Segura” (Hurlingham);Transporte seguro para estudiantes y monitoreo de rutas;Transporte / Seguridad;2020–2023;"Implementación parcial; problemas logísticos";Fracaso parcial;
“Lomas Verde”;Reforestación y huertas comunitarias;Medioambiente / Educación;2021–2025;10 barrios con huertas activas;Éxito;
“Campana Digital”;Wifi gratuito en espacios públicos y conexión municipal;Tecnología / Inclusión;2021–2024;"30 puntos instalados; buena participación";Éxito;
“Plan Integral de Contingencia Climática” (Tigre);Preparación para inundaciones y emergencias;Medioambiente / Infraestructura;2019–2024;"Obras incompletas; inundaciones en zona baja";Fracaso;
“San Fernando Jóvenes Emprendedores”;Capacitación y financiamiento de microemprendimientos juveniles;Economía / Juventud;2020–2024;200 proyectos financiados y activos;Éxito;
“Programa Municipal de Música y Arte” (Ituzaingó);Fomentar educación artística en escuelas;Cultura / Educación;2021–2024;"Talleres en 25 escuelas; alta participación";Éxito;
“Morón Limpio”;Recolección y reciclaje de residuos domiciliarios;Medioambiente;2020–2024;"Cobertura parcial; baja participación en barrios periféricos";Fracaso parcial;
“Ituzaingó Salud Digital”;Historia clínica digital y telemedicina;Salud / Tecnología;2021–2025;70% de CAPS con historia digital;Éxito;
“San Martín Inclusivo”;Adaptación de espacios públicos para personas con discapacidad;Infraestructura / Inclusión;2020–2024;Adaptación de 8 plazas principales;Éxito;
“Programa de Promoción del Deporte Barrial” (Pilar);Fomentar actividad física en barrios;Deportes / Salud;2019–2023;"Alta participación en eventos; baja cobertura en periferia";Éxito parcial;
“Control de Comercio Informal” (Quilmes);Regular vendedores callejeros;Economía / Regulación;2020–2023;Persistencia de venta ilegal en varias zonas;Fracaso;
“Red de Bibliotecas Móviles” (Hurlingham);Acceso a libros y talleres de lectura;Cultura / Educación;2021–2024;"10 unidades activas; buena asistencia";Éxito;
“Plan de Energía Renovable Municipal” (Tigre);Paneles solares en edificios municipales;Energía / Medioambiente;2020–2025;"Instalación parcial; ahorro medido en un 20%";Éxito parcial;
